Epoch seconds,Date
1769068795,2026-01-22 07:59:55,          popup zone
1769068795,2026-01-22 07:59:55,"
"
1769068795,2026-01-22 07:59:55,"
              * No content"
1769068795,2026-01-22 07:59:55,"
            Do not display again today Close"
1769068795,2026-01-22 07:59:55,"
            popup"
1769068795,2026-01-22 07:59:55,"
            eng"
1769068795,2026-01-22 07:59:55,"
                kor"
1769068795,2026-01-22 07:59:55,"
                eng"
1769068795,2026-01-22 07:59:55,"
            LOGIN"
1769068795,2026-01-22 07:59:55,"
"
1769068795,2026-01-22 07:59:55,"
              SEARCH"
1769068795,2026-01-22 07:59:55,"
"
1769068795,2026-01-22 07:59:55,"
                  검색"
1769068795,2026-01-22 07:59:55,"
"
1769068795,2026-01-22 07:59:55,"
                Popular topics"
1769068795,2026-01-22 07:59:55,"
"
1769068795,2026-01-22 07:59:55,"
                  # Academic Calendar # Scholarship # library # Tuition # Certificate # Course registration # Dormitory # Graduate # Departments & Programs"
1769068795,2026-01-22 07:59:55,"
              닫기"
1769068795,2026-01-22 07:59:55,"
          #"
1769068795,2026-01-22 07:59:55,"
"
1769068795,2026-01-22 07:59:55,"
            * About DU"
1769068795,2026-01-22 07:59:55,"
            * Academics"
1769068795,2026-01-22 07:59:55,"
            * Research"
1769068795,2026-01-22 07:59:55,"
            * Admission"
1769068795,2026-01-22 07:59:55,"
            * International"
1769068795,2026-01-22 07:59:55,"
            * Giving to DU"
1769068795,2026-01-22 07:59:55,"
            * News"
1769068795,2026-01-22 07:59:55,"
              * nDRIMS"
1769068795,2026-01-22 07:59:55,"
              * Dream PATH"
1769068795,2026-01-22 07:59:55,"
              * groupware"
1769068795,2026-01-22 07:59:55,"
              * portal"
1769068795,2026-01-22 07:59:55,"
              * webmail"
1769068795,2026-01-22 07:59:55,"
              * sitemap"
1769068795,2026-01-22 07:59:55,"
"
1769068795,2026-01-22 07:59:55,"
        International"
1769068795,2026-01-22 07:59:55,"
"
1769068795,2026-01-22 07:59:55,"
              * 홈"
1769068795,2026-01-22 07:59:55,"
              * International"
1769068795,2026-01-22 07:59:55,"
              * Exchange Program"
1769068795,2026-01-22 07:59:55,"
              * Partner University"
1769068795,2026-01-22 07:59:55,"
              * 인쇄"
1769068795,2026-01-22 07:59:55,"
              * 공유"
1769068795,2026-01-22 07:59:55,"
                  페이스북 공유하기 트위터 공유하기"
1769068795,2026-01-22 07:59:55,"
"
1769068795,2026-01-22 07:59:55,"
          Partner University"
1769068795,2026-01-22 07:59:55,"
"
1769068795,2026-01-22 07:59:55,"
              * Asia"
1769068795,2026-01-22 07:59:55,"
              * Asia(South-East, Central, Middle)"
1769068795,2026-01-22 07:59:55,"
              * America"
1769068795,2026-01-22 07:59:55,"
              * Africa"
1769068795,2026-01-22 07:59:55,"
              * Europe"
1769068795,2026-01-22 07:59:55,"
              * Oceania"
1769068795,2026-01-22 07:59:55,"
"
1769068795,2026-01-22 07:59:55,"
          Africa"
1769068795,2026-01-22 07:59:55,"
"
1769068795,2026-01-22 07:59:55,"
              Country   University                             "
1769068795,2026-01-22 07:59:55,"
              Botswana  University of Botswana                 "
1769068795,2026-01-22 07:59:55,"
              Tanzania  Borigaram Agriculture Technical College"
1769068795,2026-01-22 07:59:55,"
              Tunisia   Tunis El Manar University              "
1769068795,2026-01-22 07:59:55,"
              "
1769068795,2026-01-22 07:59:55,"
              * Department"
1769068795,2026-01-22 07:59:55,"
"
1769068795,2026-01-22 07:59:55,"
                Office of International Relations"
1769068795,2026-01-22 07:59:55,"
"
1769068795,2026-01-22 07:59:55,"
              * Contact"
1769068795,2026-01-22 07:59:55,"
"
